annee;diplome;situation;genre;disciplines;code_du_domaine;domaine;code_de_la_discipline;discipline;code_du_secteur_disciplinaire;secteur_disciplinaire;nombre_de_reponses;taux_d_insertion;emplois_cadre_ou_professions_intermediaires;emplois_cadre;emplois_exterieurs_a_la_region_de_l_universite;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;salaire_net_des_emplois_a_temps_plein_1_er_quartile;salaire_net_des_emplois_a_temps_plein_3eme_quartile;diplomes_boursiers;femmes;taux_de_chomage_national;salaire_net_mensuel_median_national;code_du_secteur_disciplinaire_sise;salaire_net_mensuel_national_1er_quartile;salaire_net_mensuel_national_3eme_quartile;cle_disc;statut_liberal;statut_fonct;statut_cdi;statut_cdimiss;statut_conspe;statut_cdd;statut_vac;statut_interim;statut_intermit;statut_contrpro;statut_aide;statut_volont;employ_meme;employ_fp;employ_entrpriv;employ_entrpub;employ_asso;employ_libe;employ_orga;employ_sem;employ_parti;secteur_agri;secteur_indus;secteur_constr;secteur_immo;secteur_comm;secteur_info;secteur_fin;secteur_spe;secteur_serv;secteur_ens;secteur_admin;secteur_sante;secteur_arts;secteur_autres;niveau_agri;niveau_articomm;niveau_lib;niveau_cata;niveau_inge;niveau_catb;niveau_tech;niveau_catc;niveau_ouvr;niveau_empl
2014;MASTER LMD;30 mois après le diplôme;hommes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;141;83;83;69;45;52;93;2050;32000;1700;2650;26;;9.3;1870;SD37;1480;2280;disc02_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;260;81;84;67;38;60;97;2000;31200;1610;2280;24;60;10.1;1830;SD37;1460;2230;disc02_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;265;90;91;75;48;53;95;2050;32000;1780;2420;34;;8.5;1830;SD37;1450;2180;disc02_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;527;85;88;72;42;44;95;1900;29600;1600;2300;33;58;7.8;1900;SD37;1470;2330;disc02_02_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;MASTER LMD;30 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;344;86;90;67;49;51;94;2000;31200;1600;2330;33;57;8.6;1865;SD37;1475;2280;disc02_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;;83;82;63;39;56;97;1900;29600;1520;2220;;;10.1;1830;SD37;1460;2230;disc02_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;femmes et hommes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;307;76;76;54;41;47;88;1700;26500;1370;2000;27;60;9.9;1870;SD37;1490;2280;disc02_02_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;30 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;185;85;83;56;39;52;95;1800;28100;1500;2200;25;;9.9;1870;SD37;1490;2280;disc02_02_30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;MASTER LMD;18 mois après le diplôme;femmes;Droit, économie et gestion>Droit>Sciences politiques;DEG;Droit, économie et gestion;disc02;Droit;disc02_02;Sciences politiques;185;78;76;52;39;49;88;1720;26800;1350;2060;25;;9.9;1870;SD37;1490;2280;disc02_02_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;MASTER LMD;18 mois après le diplôme;hommes;Droit, économie et gestion>Économie>Sciences économiques;DEG;Droit, économie et gestion;disc03;Économie;disc03;Sciences économiques;;84;85;;42;64;96;1960;30500;1550;2370;;;10.1;1830;SD38;1460;2230;disc03_18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
